"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2000-11",101.8684,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2000-12",101.7227,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2001-01",101.4723,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2001-02",101.2068,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2001-03",100.9625,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2001-04",100.7661,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2001-05",100.603,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2001-06",100.3916,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2001-07",100.2511,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2001-08",100.1368,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2001-09",100.0588,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2001-10",100.0134,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2001-11",100.1653,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2001-12",100.4746,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2002-01",100.8065,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2002-02",100.923,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2002-03",100.8586,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2002-04",100.6465,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2002-05",100.4091,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2002-06",100.1771,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2002-07",99.95687,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2002-08",99.73981,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2002-09",99.55226,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2002-10",99.43684,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2002-11",99.32574,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2002-12",99.10375,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2003-01",98.79794,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2003-02",98.64249,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2003-03",98.6249,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2003-04",98.70701,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2003-05",98.80322,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2003-06",98.82939,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2003-07",98.84235,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2003-08",98.94819,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2003-09",99.02747,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2003-10",99.03533,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2003-11",99.0662,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2003-12",99.12336,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2004-01",99.21904,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2004-02",99.46129,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2004-03",99.5785,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2004-04",99.63322,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2004-05",99.69534,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2004-06",99.81358,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2004-07",99.96654,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2004-08",99.9705,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2004-09",99.83737,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2004-10",99.62653,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2004-11",99.4209,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2004-12",99.28892,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2005-01",99.34614,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2005-02",99.46812,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2005-03",99.56064,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2005-04",99.62102,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2005-05",99.52775,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2005-06",99.47778,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2005-07",99.45118,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2005-08",99.35273,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2005-09",99.36599,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2005-10",99.52787,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2005-11",99.71537,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2005-12",99.8766,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2006-01",100.0135,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2006-02",100.1254,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2006-03",100.2947,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2006-04",100.4571,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2006-05",100.6124,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2006-06",100.8186,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2006-07",100.9456,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2006-08",101.0577,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2006-09",101.1562,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2006-10",101.1977,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2006-11",101.2188,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2006-12",101.3073,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2007-01",101.3717,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2007-02",101.3409,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2007-03",101.3222,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2007-04",101.3707,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2007-05",101.4417,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2007-06",101.5001,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2007-07",101.4359,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2007-08",101.2547,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","2007-09",100.9324,
