"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-01",101.2434,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-02",101.2259,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-03",101.0831,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-04",100.8435,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-05",100.7021,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-06",100.7351,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-07",100.9111,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-08",101.0576,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-09",101.2094,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-10",101.3306,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-11",101.1633,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-12",100.6297,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-01",99.869,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-02",99.5086,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-03",99.59159,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-04",99.93718,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-05",100.1886,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-06",100.2532,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-07",100.1822,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-08",100.1058,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-09",100.0428,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-10",99.97634,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-11",99.91706,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-12",99.83886,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-01",99.73798,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-02",99.71127,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-03",99.66417,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-04",99.59939,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-05",99.53297,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-06",99.42819,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-07",99.26189,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-08",99.12934,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-09",99.01758,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-10",98.93806,
